iter	Passed	Remaining
0	34	17400
1	69	17258
2	100	16713
3	136	16987
4	174	17244
5	210	17310
6	244	17237
7	279	17178
8	313	17083
9	345	16931
10	382	17021
11	422	17197
12	457	17140
13	491	17078
14	526	17008
15	561	16992
16	596	16937
17	632	16926
18	665	16845
19	700	16806
20	736	16793
21	770	16749
22	808	16765
23	847	16812
24	884	16814
25	922	16818
26	960	16828
27	994	16757
28	1026	16668
29	1062	16643
30	1095	16579
31	1126	16477
32	1159	16413
33	1193	16358
34	1235	16416
35	1270	16379
36	1294	16202
37	1329	16161
38	1368	16173
39	1404	16147
40	1437	16094
41	1468	16018
42	1499	15931
43	1531	15874
44	1566	15836
45	1602	15820
46	1639	15798
47	1674	15763
48	1708	15722
49	1741	15670
50	1776	15641
51	1808	15578
52	1842	15541
53	1877	15510
54	1906	15427
55	1941	15394
56	1976	15359
57	2012	15334
58	2051	15331
59	2085	15290
60	2119	15253
61	2156	15233
62	2190	15197
63	2228	15178
64	2264	15157
65	2301	15133
66	2334	15089
67	2372	15070
68	2403	15014
69	2439	14982
70	2470	14926
71	2502	14874
72	2534	14825
73	2568	14787
74	2601	14739
75	2633	14691
76	2666	14650
77	2698	14600
78	2729	14544
79	2758	14484
80	2788	14424
81	2816	14358
82	2847	14305
83	2876	14243
84	2903	14175
85	2928	14095
86	2960	14051
87	2993	14014
88	3027	13980
89	3064	13960
90	3099	13928
91	3132	13890
92	3159	13824
93	3191	13784
94	3222	13739
95	3252	13687
96	3279	13626
97	3309	13573
98	3338	13520
99	3367	13471
100	3394	13409
101	3419	13343
102	3443	13271
103	3470	13213
104	3495	13148
105	3519	13082
106	3553	13051
107	3585	13013
108	3613	12961
109	3639	12903
110	3664	12843
111	3687	12773
112	3713	12716
113	3737	12653
114	3768	12615
115	3794	12561
116	3819	12504
117	3845	12450
118	3873	12400
119	3901	12355
120	3927	12301
121	3953	12248
122	3988	12226
123	4025	12205
124	4061	12185
125	4095	12156
126	4121	12105
127	4153	12070
128	4186	12041
129	4213	11992
130	4241	11947
131	4264	11890
132	4289	11837
133	4313	11782
134	4338	11730
135	4366	11686
136	4397	11650
137	4424	11607
138	4454	11568
139	4480	11520
140	4506	11473
141	4531	11424
142	4557	11376
143	4583	11331
144	4609	11286
145	4634	11237
146	4662	11197
147	4699	11177
148	4732	11148
149	4765	11118
150	4798	11091
151	4834	11067
152	4868	11041
153	4906	11024
154	4939	10993
155	4973	10966
156	5006	10937
157	5041	10912
158	5075	10884
159	5109	10858
160	5142	10829
161	5181	10811
162	5218	10789
163	5255	10767
164	5287	10736
165	5320	10704
166	5359	10686
167	5394	10659
168	5427	10629
169	5463	10604
170	5500	10582
171	5535	10555
172	5572	10533
173	5606	10503
174	5637	10469
175	5674	10446
176	5711	10422
177	5749	10401
178	5786	10376
179	5816	10341
180	5853	10315
181	5886	10284
182	5920	10256
183	5954	10226
184	5979	10181
185	6014	10152
186	6051	10129
187	6087	10102
188	6119	10070
189	6156	10045
190	6198	10027
191	6232	9997
192	6268	9971
193	6301	9940
194	6333	9906
195	6368	9878
196	6405	9852
197	6443	9827
198	6481	9802
199	6517	9775
200	6550	9744
