Model,Target,R² Score,CV R² Mean,CV R² Std,Accuracy %,RMSE,MAE,MAPE %,Status
Stacking Ensemble,1 yr ECL,0.8487421291994449,,,84.8742129199445,7597.95627529815,3185.4470529790724,429545155061087.5,⚠ Below 95%
Random Forest,1 yr ECL,0.8448262652748748,0.8410964883100712,0.002340587156050498,84.48262652748748,7695.6783052371065,3118.666382617083,403172555191873.9,⚠ Below 95%
LightGBM,1 yr ECL,0.8402297124843234,0.8366585893245425,0.0014582070056701883,84.02297124843234,7808.827100101395,3471.0403548647846,456837216261121.9,⚠ Below 95%
XGBoost,1 yr ECL,0.8355221093383592,0.8327886502848532,0.001914578293458226,83.55221093383592,7923.0347820235565,3511.593062293697,456998205928091.6,⚠ Below 95%
Gradient Boosting,1 yr ECL,0.8274467071338393,0.8240912064175383,0.0019444224782239423,82.74467071338393,8115.203677034441,3674.6660019935935,474170111850199.8,⚠ Below 95%
CatBoost,1 yr ECL,0.8214440826573869,0.8185906794759896,0.002901523758969198,82.14440826573869,8255.149111012748,3722.0353702886646,482743585609673.8,⚠ Below 95%
Ridge (Polynomial),1 yr ECL,0.6854954008620866,0.6823332897235519,0.003952366130816347,68.54954008620867,10955.98171961443,5970.820224519803,704862535967867.8,⚠ Below 95%
Random Forest,Impairment,0.9911947748813669,0.9896381629423411,0.001316967689892856,99.11947748813668,20824.531962078712,5431.98860283517,136545573446343.75,✓ Achieved
LightGBM,Impairment,0.990923623098515,0.9880530912345453,0.0028918358592055775,99.0923623098515,21142.740446540905,6378.0756073224375,174098531535041.8,✓ Achieved
XGBoost,Impairment,0.9905546258150167,0.9860284134240438,0.004722792888665632,99.05546258150167,21568.23471706412,6670.874462388795,190240281670431.1,✓ Achieved
XGBoost (Optuna Tuned),Impairment,0.9905047940146374,0.9846615353802073,0.0,99.05047940146375,21625.054599990315,6845.251436098342,198077011628121.6,✓ Achieved
CatBoost,Impairment,0.9905040917998686,0.9833786831803616,0.004661041359610442,99.05040917998687,21625.854222030746,7080.6133977857,202551102947998.06,✓ Achieved
Gradient Boosting,Impairment,0.990398446393956,0.9876269588699239,0.0025328547065811657,99.0398446393956,21745.819198145466,7073.052094389923,189899941775528.28,✓ Achieved
Stacking Ensemble,Impairment,0.990055251889974,,,99.0055251889974,22131.04448074913,5590.570409557683,154504011544269.34,✓ Achieved
Ridge (Polynomial),Impairment,0.9849413683549643,0.9806179584839765,0.0031053121737647845,98.49413683549642,27233.143365804117,10881.263523354553,164099925930489.56,✓ Achieved
