iter	RMSE
0	1.377606555
1	1.347839449
2	1.318908286
3	1.290415111
4	1.265446646
5	1.242480979
6	1.219190089
7	1.19349159
8	1.169474054
9	1.150327008
10	1.126545797
11	1.107215754
12	1.090228696
13	1.069335274
14	1.052857163
15	1.039274468
16	1.026770507
17	1.008574637
18	0.9948912764
19	0.9827723392
20	0.9712630406
21	0.9541211319
22	0.9414059164
23	0.9310283497
24	0.9220895194
25	0.9150928315
26	0.9001006121
27	0.8863512606
28	0.8774743969
29	0.8642643403
30	0.8515732645
31	0.8397156796
32	0.8327354898
33	0.8266566036
34	0.821709
35	0.8129411402
36	0.8084373799
37	0.8027867535
38	0.7924435279
39	0.7820305201
40	0.7751416406
41	0.7691606332
42	0.7629060533
43	0.7580141903
44	0.7525943613
45	0.7448845845
46	0.7363569194
47	0.7333209693
48	0.727792007
49	0.7188927249
50	0.7160299905
51	0.7133952222
52	0.7052197138
53	0.6982512759
54	0.6929133077
55	0.6842253454
56	0.676649363
57	0.6739959872
58	0.6713649566
59	0.6673442988
60	0.6604799382
61	0.6556757735
62	0.6519983246
63	0.6460974886
64	0.6396804212
65	0.6338326846
66	0.6311617582
67	0.6242806662
68	0.6223422408
69	0.6178588939
70	0.6115150573
71	0.6044656391
72	0.5990930006
73	0.5935110065
74	0.5916991487
75	0.5883982038
76	0.5834444429
77	0.5804196928
78	0.5751896649
79	0.5724681732
80	0.5671622948
81	0.5653946048
82	0.5637388014
83	0.5612962556
84	0.5594773062
85	0.556126379
86	0.5507522233
87	0.5489031517
88	0.5464262405
89	0.54149819
90	0.5389422897
91	0.5342327085
92	0.5318974673
93	0.5275941803
94	0.5243949923
95	0.5228216944
96	0.5179909534
97	0.5151134136
98	0.5106944676
99	0.5072334365
100	0.5032472059
101	0.5002940982
102	0.4983108244
103	0.4958747404
104	0.491953012
105	0.4907860025
106	0.4896591309
107	0.4860768535
108	0.4843646946
109	0.4813218598
110	0.4798110859
111	0.4770843446
112	0.4749210075
113	0.4723082013
114	0.4709980561
115	0.4696101906
116	0.4685627347
117	0.4660305361
118	0.4650856187
119	0.4642196904
120	0.4622874078
121	0.4615101749
122	0.4603606496
123	0.4583483802
124	0.456109789
125	0.4540781982
126	0.4523741768
127	0.4502864843
128	0.4488268286
129	0.4473165782
130	0.4455575552
131	0.4437272008
132	0.442125803
133	0.440838527
134	0.4401046312
135	0.4384301328
136	0.4374109516
137	0.4367624534
138	0.4355415343
139	0.434604576
140	0.4340594206
141	0.4329890534
142	0.4313539577
143	0.4308108205
144	0.4293394034
145	0.4284820975
146	0.4272341547
147	0.4259828191
148	0.4248402904
149	0.4240585611
150	0.422851452
151	0.4216496296
152	0.4210329782
153	0.4204433644
154	0.419787919
155	0.4187150564
156	0.4179105636
157	0.4169796079
158	0.4161142829
159	0.4154456411
160	0.4149659222
161	0.4144116549
162	0.4139680781
163	0.4134165119
164	0.4125791251
165	0.4118218305
166	0.4108208633
167	0.4102717497
168	0.40970814
169	0.4092216124
170	0.4086510567
171	0.4082066647
172	0.4078051301
173	0.4069218834
174	0.4061229957
175	0.4057576493
176	0.4053553444
177	0.4045582911
178	0.4039452149
179	0.4036037714
180	0.4028718669
181	0.4022767137
182	0.4017848761
183	0.4014996792
184	0.4009449754
185	0.4006230852
186	0.4002884152
187	0.3996649296
188	0.3994193427
189	0.3988635062
190	0.3983611424
191	0.3978237416
192	0.3974943864
193	0.3972137406
194	0.3969261644
195	0.3965010317
196	0.3961401389
197	0.3959225246
198	0.3956728279
199	0.3954473104
