iter	Passed	Remaining
0	6	1307
1	11	1180
2	16	1083
3	21	1044
4	26	1047
5	31	1025
6	36	1008
7	41	1006
8	46	997
9	51	975
10	56	968
11	60	954
12	65	945
13	70	938
14	76	943
15	80	930
16	85	918
17	90	917
18	95	907
19	100	900
20	105	897
21	109	888
22	114	882
23	120	880
24	127	889
25	133	894
26	138	888
27	143	878
28	147	869
29	152	863
30	157	860
31	162	854
32	167	849
33	173	846
34	177	838
35	182	831
36	189	833
37	195	831
38	201	832
39	207	830
40	214	830
41	221	832
42	227	830
43	233	828
44	239	825
45	245	820
46	251	818
47	257	813
48	261	806
49	267	801
50	271	794
51	276	786
52	281	780
53	286	775
54	291	768
55	296	763
56	302	757
57	306	750
58	311	744
59	316	738
60	321	733
61	326	726
62	331	721
63	336	715
64	341	710
65	347	705
66	352	699
67	357	693
68	361	687
69	367	682
70	372	676
71	376	670
72	383	666
73	388	661
74	393	656
75	400	653
76	406	649
77	412	644
78	417	640
79	422	634
80	427	628
81	432	622
82	436	615
83	441	610
84	447	604
85	452	599
86	457	594
87	463	590
88	468	584
89	472	578
90	478	573
91	484	568
92	489	562
93	494	557
94	499	551
95	503	545
96	508	539
97	513	534
98	518	528
99	522	522
100	527	517
101	532	512
102	537	506
103	543	502
104	548	496
105	553	491
106	559	486
107	564	481
108	570	475
109	575	470
110	580	465
111	585	459
112	590	454
113	596	449
114	601	444
115	605	438
116	610	433
117	615	427
118	620	422
119	626	417
120	631	411
121	635	406
122	640	400
123	645	395
124	650	390
125	655	384
126	660	379
127	665	374
128	670	368
129	676	364
130	681	359
131	687	353
132	693	349
133	698	344
134	703	338
135	708	333
136	713	328
137	718	322
138	723	317
139	728	312
140	732	306
141	738	301
142	744	296
143	749	291
144	754	286
145	760	281
146	765	275
147	770	270
148	776	265
149	780	260
150	786	255
151	793	250
152	798	245
153	803	239
154	808	234
155	814	229
156	820	224
157	826	219
158	831	214
159	837	209
160	842	204
161	848	199
162	854	193
163	859	188
164	864	183
165	870	178
166	876	173
167	881	167
168	887	162
169	893	157
170	898	152
171	904	147
172	910	142
173	915	136
174	921	131
175	926	126
176	932	121
177	938	115
178	943	110
179	948	105
180	954	100
181	959	94
182	965	89
183	971	84
184	977	79
185	983	74
186	989	68
187	995	63
188	1001	58
189	1008	53
190	1013	47
191	1020	42
192	1024	37
193	1030	31
194	1035	26
195	1041	21
196	1046	15
197	1051	10
198	1056	5
199	1061	0
