iter	RMSE
0	18902.99943
1	17634.94211
2	16527.96227
3	15597.40674
4	14774.535
5	14066.3212
6	13420.53726
7	12877.45541
8	12412.96608
9	11990.19354
10	11644.58181
11	11340.14595
12	11073.43622
13	10852.16827
14	10665.72847
15	10497.05166
16	10348.43659
17	10230.54054
18	10118.77361
19	10016.41553
20	9921.130182
21	9852.221556
22	9776.303271
23	9714.759271
24	9657.069502
25	9590.788507
26	9531.723571
27	9488.009058
28	9455.953495
29	9417.271937
30	9385.960386
31	9350.822896
32	9320.777084
33	9291.013704
34	9265.685403
35	9236.214034
36	9208.656614
37	9184.201949
38	9151.233981
39	9131.481418
40	9110.492976
41	9088.713805
42	9066.338051
43	9052.85424
44	9034.57688
45	9014.43254
46	9001.154644
47	8985.936494
48	8971.015826
49	8949.50461
50	8932.358682
51	8919.929668
52	8903.302701
53	8887.588612
54	8869.246435
55	8857.926992
56	8845.702757
57	8832.353324
58	8816.344636
59	8801.005652
60	8791.174253
61	8772.49255
62	8764.14966
63	8750.879398
64	8742.313207
65	8728.966049
66	8713.895522
67	8702.058249
68	8691.195183
69	8672.26301
70	8659.589923
71	8648.548854
72	8640.527864
73	8627.39787
74	8612.614883
75	8606.35137
76	8597.04317
77	8586.830162
78	8577.193654
79	8566.067669
80	8554.318317
81	8546.314558
82	8540.660525
83	8531.884591
84	8525.469261
85	8511.958516
86	8504.598992
87	8488.540393
88	8469.713481
89	8464.805254
90	8451.487555
91	8443.186118
92	8435.453261
93	8426.306481
94	8421.158599
95	8412.69375
96	8403.74472
97	8392.635873
98	8385.712027
99	8378.665681
100	8371.301801
101	8364.092071
102	8354.37995
103	8341.386003
104	8331.308621
105	8322.613011
106	8313.435814
107	8301.1636
108	8296.952822
109	8292.313788
110	8281.045958
111	8268.389993
112	8258.115975
113	8247.12123
114	8240.992418
115	8227.099828
116	8220.979644
117	8213.541945
118	8207.086296
119	8193.769162
120	8188.440178
121	8182.966318
122	8166.825179
123	8157.792747
124	8151.310573
125	8143.959812
126	8129.347762
127	8119.828055
128	8112.676492
129	8108.549073
130	8096.443074
131	8085.839023
132	8077.4257
133	8072.174589
134	8061.134583
135	8056.383056
136	8049.579767
137	8043.151562
138	8036.571075
139	8021.035438
140	8015.398829
141	8009.980515
142	8004.270875
143	7990.981672
144	7982.025371
145	7972.089943
146	7961.37829
147	7952.99488
148	7944.195891
149	7931.434699
150	7921.76458
151	7918.14606
152	7907.5453
153	7901.784376
154	7895.377853
155	7888.866466
156	7880.833994
157	7871.016308
158	7864.970753
159	7859.585162
160	7855.015526
161	7847.751819
162	7842.584053
163	7831.823708
164	7828.925577
165	7819.865138
166	7809.817465
167	7799.156031
168	7791.406876
169	7781.542255
170	7770.202536
171	7766.464224
172	7758.839501
173	7752.038689
174	7744.230222
175	7736.807434
176	7723.291067
177	7720.112631
178	7715.630582
179	7701.441271
180	7693.103098
181	7679.599691
182	7670.700681
183	7666.86937
184	7659.552942
185	7654.255588
186	7648.724689
187	7644.821829
188	7639.610524
189	7631.638446
190	7626.497966
191	7617.731522
192	7611.983341
193	7601.529735
194	7598.183152
195	7595.794555
196	7586.65493
197	7580.39514
198	7568.597644
199	7564.500413
