iter	Passed	Remaining
0	31	6193
1	62	6193
2	92	6090
3	120	5920
4	149	5819
5	176	5707
6	206	5685
7	234	5621
8	263	5585
9	290	5510
10	317	5447
11	345	5405
12	373	5374
13	401	5329
14	431	5320
15	461	5311
16	491	5285
17	519	5253
18	552	5264
19	584	5257
20	611	5216
21	641	5191
22	672	5178
23	705	5171
24	737	5164
25	770	5153
26	799	5122
27	829	5094
28	859	5067
29	889	5039
30	918	5008
31	948	4978
32	977	4948
33	1009	4927
34	1047	4939
35	1092	4978
36	1127	4968
37	1157	4933
38	1190	4915
39	1220	4883
40	1252	4859
41	1286	4840
42	1320	4820
43	1351	4790
44	1381	4756
45	1412	4729
46	1445	4705
47	1478	4681
48	1514	4665
49	1548	4645
50	1581	4621
51	1615	4597
52	1647	4570
53	1680	4543
54	1713	4516
55	1745	4488
56	1777	4458
57	1807	4424
58	1839	4396
59	1871	4366
60	1900	4330
61	1931	4298
62	1960	4264
63	1990	4229
64	2020	4195
65	2050	4163
66	2080	4129
67	2115	4106
68	2145	4073
69	2175	4040
70	2206	4009
71	2237	3977
72	2264	3939
73	2293	3905
74	2324	3873
75	2353	3839
76	2385	3810
77	2414	3776
78	2443	3742
79	2470	3706
80	2498	3671
81	2527	3636
82	2555	3602
83	2582	3566
84	2608	3529
85	2637	3496
86	2664	3460
87	2691	3426
88	2719	3391
89	2746	3356
90	2773	3321
91	2800	3287
92	2827	3253
93	2855	3219
94	2883	3186
95	2910	3152
96	2937	3119
97	2963	3084
98	2990	3051
99	3018	3018
100	3047	2987
101	3074	2953
102	3102	2921
103	3130	2889
104	3158	2858
105	3186	2825
106	3214	2793
107	3241	2761
108	3267	2728
109	3295	2696
110	3322	2664
111	3349	2631
112	3376	2599
113	3403	2567
114	3431	2536
115	3458	2504
116	3485	2472
117	3512	2441
118	3539	2409
119	3567	2378
120	3594	2346
121	3621	2315
122	3648	2284
123	3675	2252
124	3702	2221
125	3729	2190
126	3756	2159
127	3783	2128
128	3810	2097
129	3838	2066
130	3867	2036
131	3894	2006
132	3921	1975
133	3947	1944
134	3974	1913
135	4001	1883
136	4027	1852
137	4054	1821
138	4083	1791
139	4109	1761
140	4137	1731
141	4164	1700
142	4190	1670
143	4219	1640
144	4246	1610
145	4273	1580
146	4300	1550
147	4327	1520
148	4355	1490
149	4382	1460
150	4411	1431
151	4438	1401
152	4464	1371
153	4491	1341
154	4518	1311
155	4545	1282
156	4572	1252
157	4600	1222
158	4627	1193
159	4654	1163
160	4681	1134
161	4709	1104
162	4736	1075
163	4763	1045
164	4790	1016
165	4818	986
166	4846	957
167	4876	928
168	4903	899
169	4929	869
170	4957	840
171	4984	811
172	5011	782
173	5040	753
174	5066	723
175	5093	694
176	5120	665
177	5147	636
178	5174	607
179	5201	577
180	5228	548
181	5256	519
182	5284	490
183	5311	461
184	5338	432
185	5366	403
186	5394	374
187	5421	346
188	5448	317
189	5474	288
190	5502	259
191	5530	230
192	5557	201
193	5584	172
194	5610	143
195	5636	115
196	5663	86
197	5690	57
198	5718	28
199	5745	0
